project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    Number[][] numberArray0 = new Number[20][6];
    DefaultIntervalCategoryDataset defaultIntervalCategoryDataset0 = new DefaultIntervalCategoryDataset(numberArray0, numberArray0);
    Comparable comparable0 = defaultIntervalCategoryDataset0.getRowKey(16);
    assertEquals(20, defaultIntervalCategoryDataset0.getRowCount());
}",0,
project,0,test001,"public void test001() throws Throwable {
    Number[][] numberArray0 = new Number[20][6];
    DefaultIntervalCategoryDataset defaultIntervalCategoryDataset0 = new DefaultIntervalCategoryDataset(numberArray0, numberArray0);
    Comparable comparable0 = defaultIntervalCategoryDataset0.getRowKey(16);
    assertEquals(""Series 17"", comparable0);
}",1,
project,0,test012,"public void test012() throws Throwable {
    double[][] doubleArray0 = new double[1][3];
    DefaultIntervalCategoryDataset defaultIntervalCategoryDataset0 = new DefaultIntervalCategoryDataset(doubleArray0, doubleArray0);
    // Undeclared exception!
    try {
        defaultIntervalCategoryDataset0.getRowKey(1);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // The 'row' argument is out of bounds.
        //
        verifyException(""org.jfree.data.category.DefaultIntervalCategoryDataset"", e);
    }
}",1,
project,0,test023,"public void test023() throws Throwable {
    Number[][] numberArray0 = new Number[1][8];
    DefaultIntervalCategoryDataset defaultIntervalCategoryDataset0 = new DefaultIntervalCategoryDataset(numberArray0, numberArray0);
    MockDate mockDate0 = new MockDate(0);
    SimpleTimePeriod simpleTimePeriod0 = new SimpleTimePeriod(mockDate0, mockDate0);
    // Undeclared exception!
    try {
        defaultIntervalCategoryDataset0.setStartValue(0, simpleTimePeriod0, 2);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // DefaultIntervalCategoryDataset.setValue: unrecognised category.
        //
        verifyException(""org.jfree.data.category.DefaultIntervalCategoryDataset"", e);
    }
}",1,
project,0,test034,"public void test034() throws Throwable {
    Number[][] numberArray0 = new Number[12][6];
    DefaultIntervalCategoryDataset defaultIntervalCategoryDataset0 = new DefaultIntervalCategoryDataset(numberArray0, numberArray0);
    defaultIntervalCategoryDataset0.getEndValue(6, 0);
    assertEquals(12, defaultIntervalCategoryDataset0.getRowCount());
}",0,"assertEquals(0, defaultIntervalCategoryDataset0.getRowCount())"
project,0,test035,"public void test035() throws Throwable {
    Number[][] numberArray0 = new Number[12][6];
    DefaultIntervalCategoryDataset defaultIntervalCategoryDataset0 = new DefaultIntervalCategoryDataset(numberArray0, numberArray0);
    defaultIntervalCategoryDataset0.getEndValue(6, 0);
    assertEquals(6, defaultIntervalCategoryDataset0.getCategoryCount());
}",0,
project,0,test046,"public void test046() throws Throwable {
    DefaultIntervalCategoryDataset defaultIntervalCategoryDataset0 = new DefaultIntervalCategoryDataset((Number[][]) null, (Number[][]) null);
    // Undeclared exception!
    try {
        defaultIntervalCategoryDataset0.getValue(0, 0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // DefaultIntervalCategoryDataset.getValue(): series index out of range.
        //
        verifyException(""org.jfree.data.category.DefaultIntervalCategoryDataset"", e);
    }
}",0,
project,0,test057,"public void test057() throws Throwable {
    Number[][] numberArray0 = new Number[1][6];
    DefaultIntervalCategoryDataset defaultIntervalCategoryDataset0 = new DefaultIntervalCategoryDataset(numberArray0, numberArray0);
    // Undeclared exception!
    try {
        defaultIntervalCategoryDataset0.getStartValue(1, 957);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // DefaultIntervalCategoryDataset.getValue(): series index out of range.
        //
        verifyException(""org.jfree.data.category.DefaultIntervalCategoryDataset"", e);
    }
}",1,
project,0,test068,"public void test068() throws Throwable {
    Number[][] numberArray0 = new Number[1][6];
    DefaultIntervalCategoryDataset defaultIntervalCategoryDataset0 = new DefaultIntervalCategoryDataset(numberArray0, numberArray0);
    defaultIntervalCategoryDataset0.getStartValue(0, 0);
    assertEquals(1, defaultIntervalCategoryDataset0.getRowCount());
}",0,
project,0,test069,"public void test069() throws Throwable {
    Number[][] numberArray0 = new Number[1][6];
    DefaultIntervalCategoryDataset defaultIntervalCategoryDataset0 = new DefaultIntervalCategoryDataset(numberArray0, numberArray0);
    defaultIntervalCategoryDataset0.getStartValue(0, 0);
    assertEquals(6, defaultIntervalCategoryDataset0.getCategoryCount());
}",0,"assertEquals(0, defaultIntervalCategoryDataset0.getCategoryCount())"
