project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    HashMap<String, FormatFactory> hashMap0 = new HashMap<String, FormatFactory>();
    ExtendedMessageFormat extendedMessageFormat0 = null;
    try {
        extendedMessageFormat0 = new ExtendedMessageFormat(""b6;C^v*{0 "", hashMap0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Invalid format argument index at position 8: 
        //
        verifyException(""org.apache.commons.lang3.text.ExtendedMessageFormat"", e);
    }
}",1,
project,0,test011,"public void test011() throws Throwable {
    HashMap<String, FormatFactory> hashMap0 = new HashMap<String, FormatFactory>();
    ExtendedMessageFormat extendedMessageFormat0 = null;
    try {
        extendedMessageFormat0 = new ExtendedMessageFormat(""79'nT<U(1uE7{+]["", hashMap0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Invalid format argument index at position 13: +
        //
        verifyException(""org.apache.commons.lang3.text.ExtendedMessageFormat"", e);
    }
}",1,
project,0,test022,"public void test022() throws Throwable {
    ExtendedMessageFormat extendedMessageFormat0 = new ExtendedMessageFormat(""/"");
    String string0 = extendedMessageFormat0.toPattern();
    assertEquals(""/"", string0);
}",0,
project,0,test033,"public void test033() throws Throwable {
    HashMap<String, FormatFactory> hashMap0 = new HashMap<String, FormatFactory>();
    ExtendedMessageFormat extendedMessageFormat0 = new ExtendedMessageFormat(""-!(v"", hashMap0);
    // Undeclared exception!
    try {
        extendedMessageFormat0.applyPattern((String) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test044,"public void test044() throws Throwable {
    ExtendedMessageFormat extendedMessageFormat0 = new ExtendedMessageFormat(""Z&x+C.H}Pqj}}5E"");
    // Undeclared exception!
    try {
        extendedMessageFormat0.applyPattern("">T5Q{`F`&<mi5"");
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Unmatched braces in the pattern.
        //
        verifyException(""java.text.MessageFormat"", e);
    }
}",0,
project,0,test055,"public void test055() throws Throwable {
    ExtendedMessageFormat extendedMessageFormat0 = null;
    try {
        extendedMessageFormat0 = new ExtendedMessageFormat((String) null, (Map<String, ? extends FormatFactory>) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test066,"public void test066() throws Throwable {
    ExtendedMessageFormat extendedMessageFormat0 = null;
    try {
        extendedMessageFormat0 = new ExtendedMessageFormat(""mZ{gPq"", (Map<String, ? extends FormatFactory>) null);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Unmatched braces in the pattern.
        //
        verifyException(""java.text.MessageFormat"", e);
    }
}",1,
project,0,test077,"public void test077() throws Throwable {
    HashMap<String, FormatFactory> hashMap0 = new HashMap<String, FormatFactory>();
    ExtendedMessageFormat extendedMessageFormat0 = null;
    try {
        extendedMessageFormat0 = new ExtendedMessageFormat(""`P2:,BT%)r TUIkegA{"", hashMap0);
        fail(""Expecting exception: ArrayIndexOutOfBoundsException"");
    } catch (ArrayIndexOutOfBoundsException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",1,
project,0,test088,"public void test088() throws Throwable {
    Locale locale0 = Locale.ITALY;
    ExtendedMessageFormat extendedMessageFormat0 = null;
    try {
        extendedMessageFormat0 = new ExtendedMessageFormat((String) null, locale0, (Map<String, ? extends FormatFactory>) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test099,"public void test099() throws Throwable {
    Locale locale0 = Locale.FRANCE;
    ExtendedMessageFormat extendedMessageFormat0 = null;
    try {
        extendedMessageFormat0 = new ExtendedMessageFormat(""kH{,-}\""jpGIED/"", locale0, (Map<String, ? extends FormatFactory>) null);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // can't parse argument number:
        //
        verifyException(""java.text.MessageFormat"", e);
    }
}",0,
