focal_method,test_prefix,docstring
"public static boolean isKeyword(String name) {
    boolean id = false;
    String s = name;
    complete: {
        String X = null;
        int c;
        partial: switch(s.length()) {
            case 2:
                c = s.charAt(1);
                if (c == 'f') {
                    if (s.charAt(0) == 'i') {
                        id = true;
                        break complete;
                    }
                } else if (c == 'n') {
                    if (s.charAt(0) == 'i') {
                        id = true;
                        break complete;
                    }
                } else if (c == 'o') {
                    if (s.charAt(0) == 'd') {
                        id = true;
                        break complete;
                    }
                }
                break partial;
            case 3:
                switch(s.charAt(0)) {
                    case 'f':
                        if (s.charAt(2) == 'r' && s.charAt(1) == 'o') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'i':
                        if (s.charAt(2) == 't' && s.charAt(1) == 'n') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'n':
                        if (s.charAt(2) == 'w' && s.charAt(1) == 'e') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 't':
                        if (s.charAt(2) == 'y' && s.charAt(1) == 'r') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'v':
                        if (s.charAt(2) == 'r' && s.charAt(1) == 'a') {
                            id = true;
                            break complete;
                        }
                        break partial;
                }
                break partial;
            case 4:
                switch(s.charAt(0)) {
                    case 'b':
                        X = ""byte"";
                        id = true;
                        break partial;
                    case 'c':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 's' && s.charAt(1) == 'a') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 'r') {
                            if (s.charAt(2) == 'a' && s.charAt(1) == 'h') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'e':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 's' && s.charAt(1) == 'l') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 'm') {
                            if (s.charAt(2) == 'u' && s.charAt(1) == 'n') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'g':
                        X = ""goto"";
                        id = true;
                        break partial;
                    case 'l':
                        X = ""long"";
                        id = true;
                        break partial;
                    case 'n':
                        X = ""null"";
                        id = true;
                        break partial;
                    case 't':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 'u' && s.charAt(1) == 'r') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 's') {
                            if (s.charAt(2) == 'i' && s.charAt(1) == 'h') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'v':
                        X = ""void"";
                        id = true;
                        break partial;
                    case 'w':
                        X = ""with"";
                        id = true;
                        break partial;
                }
                break partial;
            case 5:
                switch(s.charAt(2)) {
                    case 'a':
                        X = ""class"";
                        id = true;
                        break partial;
                    case 'e':
                        X = ""break"";
                        id = true;
                        break partial;
                    case 'i':
                        X = ""while"";
                        id = true;
                        break partial;
                    case 'l':
                        X = ""false"";
                        id = true;
                        break partial;
                    case 'n':
                        c = s.charAt(0);
                        if (c == 'c') {
                            X = ""const"";
                            id = true;
                        } else if (c == 'f') {
                            X = ""final"";
                            id = true;
                        }
                        break partial;
                    case 'o':
                        c = s.charAt(0);
                        if (c == 'f') {
                            X = ""float"";
                            id = true;
                        } else if (c == 's') {
                            X = ""short"";
                            id = true;
                        }
                        break partial;
                    case 'p':
                        X = ""super"";
                        id = true;
                        break partial;
                    case 'r':
                        X = ""throw"";
                        id = true;
                        break partial;
                    case 't':
                        X = ""catch"";
                        id = true;
                        break partial;
                }
                break partial;
            case 6:
                switch(s.charAt(1)) {
                    case 'a':
                        X = ""native"";
                        id = true;
                        break partial;
                    case 'e':
                        c = s.charAt(0);
                        if (c == 'd') {
                            X = ""delete"";
                            id = true;
                        } else if (c == 'r') {
                            X = ""return"";
                            id = true;
                        }
                        break partial;
                    case 'h':
                        X = ""throws"";
                        id = true;
                        break partial;
                    case 'm':
                        X = ""import"";
                        id = true;
                        break partial;
                    case 'o':
                        X = ""double"";
                        id = true;
                        break partial;
                    case 't':
                        X = ""static"";
                        id = true;
                        break partial;
                    case 'u':
                        X = ""public"";
                        id = true;
                        break partial;
                    case 'w':
                        X = ""switch"";
                        id = true;
                        break partial;
                    case 'x':
                        X = ""export"";
                        id = true;
                        break partial;
                    case 'y':
                        X = ""typeof"";
                        id = true;
                        break partial;
                }
                break partial;
            case 7:
                switch(s.charAt(1)) {
                    case 'a':
                        X = ""package"";
                        id = true;
                        break partial;
                    case 'e':
                        X = ""default"";
                        id = true;
                        break partial;
                    case 'i':
                        X = ""finally"";
                        id = true;
                        break partial;
                    case 'o':
                        X = ""boolean"";
                        id = true;
                        break partial;
                    case 'r':
                        X = ""private"";
                        id = true;
                        break partial;
                    case 'x':
                        X = ""extends"";
                        id = true;
                        break partial;
                }
                break partial;
            case 8:
                switch(s.charAt(0)) {
                    case 'a':
                        X = ""abstract"";
                        id = true;
                        break partial;
                    case 'c':
                        X = ""continue"";
                        id = true;
                        break partial;
                    case 'd':
                        X = ""debugger"";
                        id = true;
                        break partial;
                    case 'f':
                        X = ""function"";
                        id = true;
                        break partial;
                    case 'v':
                        X = ""volatile"";
                        id = true;
                        break partial;
                }
                break partial;
            case 9:
                c = s.charAt(0);
                if (c == 'i') {
                    X = ""interface"";
                    id = true;
                } else if (c == 'p') {
                    X = ""protected"";
                    id = true;
                } else if (c == 't') {
                    X = ""transient"";
                    id = true;
                }
                break partial;
            case 10:
                c = s.charAt(1);
                if (c == 'm') {
                    X = ""implements"";
                    id = true;
                } else if (c == 'n') {
                    X = ""instanceof"";
                    id = true;
                }
                break partial;
            case 12:
                X = ""synchronized"";
                id = true;
                break partial;
        }
        // partial match validate the entire string the one possibility
        if (X != null && X != s && !X.equals(s))
            return false;
    }
    return id;
}","public void test0011() throws Throwable {
    boolean boolean0 = TokenStream.isKeyword(""in"");
    assertTrue(boolean0);
}",""
"public static boolean isKeyword(String name) {
    boolean id = false;
    String s = name;
    complete: {
        String X = null;
        int c;
        partial: switch(s.length()) {
            case 2:
                c = s.charAt(1);
                if (c == 'f') {
                    if (s.charAt(0) == 'i') {
                        id = true;
                        break complete;
                    }
                } else if (c == 'n') {
                    if (s.charAt(0) == 'i') {
                        id = true;
                        break complete;
                    }
                } else if (c == 'o') {
                    if (s.charAt(0) == 'd') {
                        id = true;
                        break complete;
                    }
                }
                break partial;
            case 3:
                switch(s.charAt(0)) {
                    case 'f':
                        if (s.charAt(2) == 'r' && s.charAt(1) == 'o') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'i':
                        if (s.charAt(2) == 't' && s.charAt(1) == 'n') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'n':
                        if (s.charAt(2) == 'w' && s.charAt(1) == 'e') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 't':
                        if (s.charAt(2) == 'y' && s.charAt(1) == 'r') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'v':
                        if (s.charAt(2) == 'r' && s.charAt(1) == 'a') {
                            id = true;
                            break complete;
                        }
                        break partial;
                }
                break partial;
            case 4:
                switch(s.charAt(0)) {
                    case 'b':
                        X = ""byte"";
                        id = true;
                        break partial;
                    case 'c':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 's' && s.charAt(1) == 'a') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 'r') {
                            if (s.charAt(2) == 'a' && s.charAt(1) == 'h') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'e':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 's' && s.charAt(1) == 'l') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 'm') {
                            if (s.charAt(2) == 'u' && s.charAt(1) == 'n') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'g':
                        X = ""goto"";
                        id = true;
                        break partial;
                    case 'l':
                        X = ""long"";
                        id = true;
                        break partial;
                    case 'n':
                        X = ""null"";
                        id = true;
                        break partial;
                    case 't':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 'u' && s.charAt(1) == 'r') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 's') {
                            if (s.charAt(2) == 'i' && s.charAt(1) == 'h') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'v':
                        X = ""void"";
                        id = true;
                        break partial;
                    case 'w':
                        X = ""with"";
                        id = true;
                        break partial;
                }
                break partial;
            case 5:
                switch(s.charAt(2)) {
                    case 'a':
                        X = ""class"";
                        id = true;
                        break partial;
                    case 'e':
                        X = ""break"";
                        id = true;
                        break partial;
                    case 'i':
                        X = ""while"";
                        id = true;
                        break partial;
                    case 'l':
                        X = ""false"";
                        id = true;
                        break partial;
                    case 'n':
                        c = s.charAt(0);
                        if (c == 'c') {
                            X = ""const"";
                            id = true;
                        } else if (c == 'f') {
                            X = ""final"";
                            id = true;
                        }
                        break partial;
                    case 'o':
                        c = s.charAt(0);
                        if (c == 'f') {
                            X = ""float"";
                            id = true;
                        } else if (c == 's') {
                            X = ""short"";
                            id = true;
                        }
                        break partial;
                    case 'p':
                        X = ""super"";
                        id = true;
                        break partial;
                    case 'r':
                        X = ""throw"";
                        id = true;
                        break partial;
                    case 't':
                        X = ""catch"";
                        id = true;
                        break partial;
                }
                break partial;
            case 6:
                switch(s.charAt(1)) {
                    case 'a':
                        X = ""native"";
                        id = true;
                        break partial;
                    case 'e':
                        c = s.charAt(0);
                        if (c == 'd') {
                            X = ""delete"";
                            id = true;
                        } else if (c == 'r') {
                            X = ""return"";
                            id = true;
                        }
                        break partial;
                    case 'h':
                        X = ""throws"";
                        id = true;
                        break partial;
                    case 'm':
                        X = ""import"";
                        id = true;
                        break partial;
                    case 'o':
                        X = ""double"";
                        id = true;
                        break partial;
                    case 't':
                        X = ""static"";
                        id = true;
                        break partial;
                    case 'u':
                        X = ""public"";
                        id = true;
                        break partial;
                    case 'w':
                        X = ""switch"";
                        id = true;
                        break partial;
                    case 'x':
                        X = ""export"";
                        id = true;
                        break partial;
                    case 'y':
                        X = ""typeof"";
                        id = true;
                        break partial;
                }
                break partial;
            case 7:
                switch(s.charAt(1)) {
                    case 'a':
                        X = ""package"";
                        id = true;
                        break partial;
                    case 'e':
                        X = ""default"";
                        id = true;
                        break partial;
                    case 'i':
                        X = ""finally"";
                        id = true;
                        break partial;
                    case 'o':
                        X = ""boolean"";
                        id = true;
                        break partial;
                    case 'r':
                        X = ""private"";
                        id = true;
                        break partial;
                    case 'x':
                        X = ""extends"";
                        id = true;
                        break partial;
                }
                break partial;
            case 8:
                switch(s.charAt(0)) {
                    case 'a':
                        X = ""abstract"";
                        id = true;
                        break partial;
                    case 'c':
                        X = ""continue"";
                        id = true;
                        break partial;
                    case 'd':
                        X = ""debugger"";
                        id = true;
                        break partial;
                    case 'f':
                        X = ""function"";
                        id = true;
                        break partial;
                    case 'v':
                        X = ""volatile"";
                        id = true;
                        break partial;
                }
                break partial;
            case 9:
                c = s.charAt(0);
                if (c == 'i') {
                    X = ""interface"";
                    id = true;
                } else if (c == 'p') {
                    X = ""protected"";
                    id = true;
                } else if (c == 't') {
                    X = ""transient"";
                    id = true;
                }
                break partial;
            case 10:
                c = s.charAt(1);
                if (c == 'm') {
                    X = ""implements"";
                    id = true;
                } else if (c == 'n') {
                    X = ""instanceof"";
                    id = true;
                }
                break partial;
            case 12:
                X = ""synchronized"";
                id = true;
                break partial;
        }
        // partial match validate the entire string the one possibility
        if (X != null && X != s && !X.equals(s))
            return false;
    }
    return id;
}","public void test0022() throws Throwable {
    boolean boolean0 = TokenStream.isKeyword(""c se"");
    assertFalse(boolean0);
}",""
"public static boolean isKeyword(String name) {
    boolean id = false;
    String s = name;
    complete: {
        String X = null;
        int c;
        partial: switch(s.length()) {
            case 2:
                c = s.charAt(1);
                if (c == 'f') {
                    if (s.charAt(0) == 'i') {
                        id = true;
                        break complete;
                    }
                } else if (c == 'n') {
                    if (s.charAt(0) == 'i') {
                        id = true;
                        break complete;
                    }
                } else if (c == 'o') {
                    if (s.charAt(0) == 'd') {
                        id = true;
                        break complete;
                    }
                }
                break partial;
            case 3:
                switch(s.charAt(0)) {
                    case 'f':
                        if (s.charAt(2) == 'r' && s.charAt(1) == 'o') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'i':
                        if (s.charAt(2) == 't' && s.charAt(1) == 'n') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'n':
                        if (s.charAt(2) == 'w' && s.charAt(1) == 'e') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 't':
                        if (s.charAt(2) == 'y' && s.charAt(1) == 'r') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'v':
                        if (s.charAt(2) == 'r' && s.charAt(1) == 'a') {
                            id = true;
                            break complete;
                        }
                        break partial;
                }
                break partial;
            case 4:
                switch(s.charAt(0)) {
                    case 'b':
                        X = ""byte"";
                        id = true;
                        break partial;
                    case 'c':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 's' && s.charAt(1) == 'a') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 'r') {
                            if (s.charAt(2) == 'a' && s.charAt(1) == 'h') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'e':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 's' && s.charAt(1) == 'l') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 'm') {
                            if (s.charAt(2) == 'u' && s.charAt(1) == 'n') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'g':
                        X = ""goto"";
                        id = true;
                        break partial;
                    case 'l':
                        X = ""long"";
                        id = true;
                        break partial;
                    case 'n':
                        X = ""null"";
                        id = true;
                        break partial;
                    case 't':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 'u' && s.charAt(1) == 'r') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 's') {
                            if (s.charAt(2) == 'i' && s.charAt(1) == 'h') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'v':
                        X = ""void"";
                        id = true;
                        break partial;
                    case 'w':
                        X = ""with"";
                        id = true;
                        break partial;
                }
                break partial;
            case 5:
                switch(s.charAt(2)) {
                    case 'a':
                        X = ""class"";
                        id = true;
                        break partial;
                    case 'e':
                        X = ""break"";
                        id = true;
                        break partial;
                    case 'i':
                        X = ""while"";
                        id = true;
                        break partial;
                    case 'l':
                        X = ""false"";
                        id = true;
                        break partial;
                    case 'n':
                        c = s.charAt(0);
                        if (c == 'c') {
                            X = ""const"";
                            id = true;
                        } else if (c == 'f') {
                            X = ""final"";
                            id = true;
                        }
                        break partial;
                    case 'o':
                        c = s.charAt(0);
                        if (c == 'f') {
                            X = ""float"";
                            id = true;
                        } else if (c == 's') {
                            X = ""short"";
                            id = true;
                        }
                        break partial;
                    case 'p':
                        X = ""super"";
                        id = true;
                        break partial;
                    case 'r':
                        X = ""throw"";
                        id = true;
                        break partial;
                    case 't':
                        X = ""catch"";
                        id = true;
                        break partial;
                }
                break partial;
            case 6:
                switch(s.charAt(1)) {
                    case 'a':
                        X = ""native"";
                        id = true;
                        break partial;
                    case 'e':
                        c = s.charAt(0);
                        if (c == 'd') {
                            X = ""delete"";
                            id = true;
                        } else if (c == 'r') {
                            X = ""return"";
                            id = true;
                        }
                        break partial;
                    case 'h':
                        X = ""throws"";
                        id = true;
                        break partial;
                    case 'm':
                        X = ""import"";
                        id = true;
                        break partial;
                    case 'o':
                        X = ""double"";
                        id = true;
                        break partial;
                    case 't':
                        X = ""static"";
                        id = true;
                        break partial;
                    case 'u':
                        X = ""public"";
                        id = true;
                        break partial;
                    case 'w':
                        X = ""switch"";
                        id = true;
                        break partial;
                    case 'x':
                        X = ""export"";
                        id = true;
                        break partial;
                    case 'y':
                        X = ""typeof"";
                        id = true;
                        break partial;
                }
                break partial;
            case 7:
                switch(s.charAt(1)) {
                    case 'a':
                        X = ""package"";
                        id = true;
                        break partial;
                    case 'e':
                        X = ""default"";
                        id = true;
                        break partial;
                    case 'i':
                        X = ""finally"";
                        id = true;
                        break partial;
                    case 'o':
                        X = ""boolean"";
                        id = true;
                        break partial;
                    case 'r':
                        X = ""private"";
                        id = true;
                        break partial;
                    case 'x':
                        X = ""extends"";
                        id = true;
                        break partial;
                }
                break partial;
            case 8:
                switch(s.charAt(0)) {
                    case 'a':
                        X = ""abstract"";
                        id = true;
                        break partial;
                    case 'c':
                        X = ""continue"";
                        id = true;
                        break partial;
                    case 'd':
                        X = ""debugger"";
                        id = true;
                        break partial;
                    case 'f':
                        X = ""function"";
                        id = true;
                        break partial;
                    case 'v':
                        X = ""volatile"";
                        id = true;
                        break partial;
                }
                break partial;
            case 9:
                c = s.charAt(0);
                if (c == 'i') {
                    X = ""interface"";
                    id = true;
                } else if (c == 'p') {
                    X = ""protected"";
                    id = true;
                } else if (c == 't') {
                    X = ""transient"";
                    id = true;
                }
                break partial;
            case 10:
                c = s.charAt(1);
                if (c == 'm') {
                    X = ""implements"";
                    id = true;
                } else if (c == 'n') {
                    X = ""instanceof"";
                    id = true;
                }
                break partial;
            case 12:
                X = ""synchronized"";
                id = true;
                break partial;
        }
        // partial match validate the entire string the one possibility
        if (X != null && X != s && !X.equals(s))
            return false;
    }
    return id;
}","public void test0033() throws Throwable {
    boolean boolean0 = TokenStream.isKeyword(""var"");
    assertTrue(boolean0);
}",""
"public static boolean isKeyword(String name) {
    boolean id = false;
    String s = name;
    complete: {
        String X = null;
        int c;
        partial: switch(s.length()) {
            case 2:
                c = s.charAt(1);
                if (c == 'f') {
                    if (s.charAt(0) == 'i') {
                        id = true;
                        break complete;
                    }
                } else if (c == 'n') {
                    if (s.charAt(0) == 'i') {
                        id = true;
                        break complete;
                    }
                } else if (c == 'o') {
                    if (s.charAt(0) == 'd') {
                        id = true;
                        break complete;
                    }
                }
                break partial;
            case 3:
                switch(s.charAt(0)) {
                    case 'f':
                        if (s.charAt(2) == 'r' && s.charAt(1) == 'o') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'i':
                        if (s.charAt(2) == 't' && s.charAt(1) == 'n') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'n':
                        if (s.charAt(2) == 'w' && s.charAt(1) == 'e') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 't':
                        if (s.charAt(2) == 'y' && s.charAt(1) == 'r') {
                            id = true;
                            break complete;
                        }
                        break partial;
                    case 'v':
                        if (s.charAt(2) == 'r' && s.charAt(1) == 'a') {
                            id = true;
                            break complete;
                        }
                        break partial;
                }
                break partial;
            case 4:
                switch(s.charAt(0)) {
                    case 'b':
                        X = ""byte"";
                        id = true;
                        break partial;
                    case 'c':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 's' && s.charAt(1) == 'a') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 'r') {
                            if (s.charAt(2) == 'a' && s.charAt(1) == 'h') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'e':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 's' && s.charAt(1) == 'l') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 'm') {
                            if (s.charAt(2) == 'u' && s.charAt(1) == 'n') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'g':
                        X = ""goto"";
                        id = true;
                        break partial;
                    case 'l':
                        X = ""long"";
                        id = true;
                        break partial;
                    case 'n':
                        X = ""null"";
                        id = true;
                        break partial;
                    case 't':
                        c = s.charAt(3);
                        if (c == 'e') {
                            if (s.charAt(2) == 'u' && s.charAt(1) == 'r') {
                                id = true;
                                break complete;
                            }
                        } else if (c == 's') {
                            if (s.charAt(2) == 'i' && s.charAt(1) == 'h') {
                                id = true;
                                break complete;
                            }
                        }
                        break partial;
                    case 'v':
                        X = ""void"";
                        id = true;
                        break partial;
                    case 'w':
                        X = ""with"";
                        id = true;
                        break partial;
                }
                break partial;
            case 5:
                switch(s.charAt(2)) {
                    case 'a':
                        X = ""class"";
                        id = true;
                        break partial;
                    case 'e':
                        X = ""break"";
                        id = true;
                        break partial;
                    case 'i':
                        X = ""while"";
                        id = true;
                        break partial;
                    case 'l':
                        X = ""false"";
                        id = true;
                        break partial;
                    case 'n':
                        c = s.charAt(0);
                        if (c == 'c') {
                            X = ""const"";
                            id = true;
                        } else if (c == 'f') {
                            X = ""final"";
                            id = true;
                        }
                        break partial;
                    case 'o':
                        c = s.charAt(0);
                        if (c == 'f') {
                            X = ""float"";
                            id = true;
                        } else if (c == 's') {
                            X = ""short"";
                            id = true;
                        }
                        break partial;
                    case 'p':
                        X = ""super"";
                        id = true;
                        break partial;
                    case 'r':
                        X = ""throw"";
                        id = true;
                        break partial;
                    case 't':
                        X = ""catch"";
                        id = true;
                        break partial;
                }
                break partial;
            case 6:
                switch(s.charAt(1)) {
                    case 'a':
                        X = ""native"";
                        id = true;
                        break partial;
                    case 'e':
                        c = s.charAt(0);
                        if (c == 'd') {
                            X = ""delete"";
                            id = true;
                        } else if (c == 'r') {
                            X = ""return"";
                            id = true;
                        }
                        break partial;
                    case 'h':
                        X = ""throws"";
                        id = true;
                        break partial;
                    case 'm':
                        X = ""import"";
                        id = true;
                        break partial;
                    case 'o':
                        X = ""double"";
                        id = true;
                        break partial;
                    case 't':
                        X = ""static"";
                        id = true;
                        break partial;
                    case 'u':
                        X = ""public"";
                        id = true;
                        break partial;
                    case 'w':
                        X = ""switch"";
                        id = true;
                        break partial;
                    case 'x':
                        X = ""export"";
                        id = true;
                        break partial;
                    case 'y':
                        X = ""typeof"";
                        id = true;
                        break partial;
                }
                break partial;
            case 7:
                switch(s.charAt(1)) {
                    case 'a':
                        X = ""package"";
                        id = true;
                        break partial;
                    case 'e':
                        X = ""default"";
                        id = true;
                        break partial;
                    case 'i':
                        X = ""finally"";
                        id = true;
                        break partial;
                    case 'o':
                        X = ""boolean"";
                        id = true;
                        break partial;
                    case 'r':
                        X = ""private"";
                        id = true;
                        break partial;
                    case 'x':
                        X = ""extends"";
                        id = true;
                        break partial;
                }
                break partial;
            case 8:
                switch(s.charAt(0)) {
                    case 'a':
                        X = ""abstract"";
                        id = true;
                        break partial;
                    case 'c':
                        X = ""continue"";
                        id = true;
                        break partial;
                    case 'd':
                        X = ""debugger"";
                        id = true;
                        break partial;
                    case 'f':
                        X = ""function"";
                        id = true;
                        break partial;
                    case 'v':
                        X = ""volatile"";
                        id = true;
                        break partial;
                }
                break partial;
            case 9:
                c = s.charAt(0);
                if (c == 'i') {
                    X = ""interface"";
                    id = true;
                } else if (c == 'p') {
                    X = ""protected"";
                    id = true;
                } else if (c == 't') {
                    X = ""transient"";
                    id = true;
                }
                break partial;
            case 10:
                c = s.charAt(1);
                if (c == 'm') {
                    X = ""implements"";
                    id = true;
                } else if (c == 'n') {
                    X = ""instanceof"";
                    id = true;
                }
                break partial;
            case 12:
                X = ""synchronized"";
                id = true;
                break partial;
        }
        // partial match validate the entire string the one possibility
        if (X != null && X != s && !X.equals(s))
            return false;
    }
    return id;
}","public void test0044() throws Throwable {
    boolean boolean0 = TokenStream.isKeyword(""@5pLf"");
    assertFalse(boolean0);
}",""
