focal_method,test_prefix,docstring
"protected static boolean isBooleanAttribute(final String key) {
    return Arrays.binarySearch(booleanAttributes, key) >= 0;
}","public void test000() throws Throwable {
    boolean boolean0 = Attribute.isBooleanAttribute(""allowfullscreen"");
    assertTrue(boolean0);
}","/**
 * Checks if this attribute name is defined as a boolean attribute in HTML5
 */"
"protected boolean isBooleanAttribute() {
    return Arrays.binarySearch(booleanAttributes, key) >= 0 || val == null;
}","public void test011() throws Throwable {
    Attribute attribute0 = new Attribute(""39T(g;UY\""6=Q^Zb>0Q"", ""nowra"");
    attribute0.setKey(""allowfullscreen"");
    boolean boolean0 = attribute0.isBooleanAttribute();
    assertTrue(boolean0);
}","/**
 * @deprecated
 */"
"public String getValue() {
    return Attributes.checkNotNull(val);
}","public void test012() throws Throwable {
    Attribute attribute0 = new Attribute(""39T(g;UY\""6=Q^Zb>0Q"", ""nowra"");
    attribute0.setKey(""allowfullscreen"");
    boolean boolean0 = attribute0.isBooleanAttribute();
    assertEquals(""nowra"", attribute0.getValue());
}","/**
 *     Get the attribute value.
 *     @return the attribute value
 */"
"protected final boolean shouldCollapseAttribute(Document.OutputSettings out) {
    return shouldCollapseAttribute(key, val, out);
}","public void test023() throws Throwable {
    Attribute attribute0 = Attribute.createFromEncoded(""disabled"", ""disabled"");
    Document.OutputSettings document_OutputSettings0 = new Document.OutputSettings();
    boolean boolean0 = attribute0.shouldCollapseAttribute(document_OutputSettings0);
    assertTrue(boolean0);
}","/**
 * Collapsible if it's a boolean attribute and value is empty or same as name
 *
 * @param out output settings
 * @return  Returns whether collapsible or not
 */"
"protected static boolean shouldCollapseAttribute(final String key, final String val, final Document.OutputSettings out) {
    return (out.syntax() == Document.OutputSettings.Syntax.html && (val == null || ("""".equals(val) || val.equalsIgnoreCase(key)) && Attribute.isBooleanAttribute(key)));
}","public void test034() throws Throwable {
    Document.OutputSettings document_OutputSettings0 = new Document.OutputSettings();
    boolean boolean0 = Attribute.shouldCollapseAttribute((String) null, (String) null, document_OutputSettings0);
    assertTrue(boolean0);
}",""
"protected static boolean isDataAttribute(String key) {
    return key.startsWith(Attributes.dataPrefix) && key.length() > Attributes.dataPrefix.length();
}","public void test045() throws Throwable {
    boolean boolean0 = Attribute.isDataAttribute(""data-&3R.DsL>ZsE.Xf"");
    assertTrue(boolean0);
}",""
"public String getValue() {
    return Attributes.checkNotNull(val);
}","public void test056() throws Throwable {
    Attribute attribute0 = Attribute.createFromEncoded(""8'A_c*d}i"", ""!mpWjI49%sr"");
    boolean boolean0 = attribute0.isDataAttribute();
    assertEquals(""!mpWjI49%sr"", attribute0.getValue());
}","/**
 *     Get the attribute value.
 *     @return the attribute value
 */"
"protected boolean isDataAttribute() {
    return isDataAttribute(key);
}","public void test057() throws Throwable {
    Attribute attribute0 = Attribute.createFromEncoded(""8'A_c*d}i"", ""!mpWjI49%sr"");
    boolean boolean0 = attribute0.isDataAttribute();
    assertFalse(boolean0);
}",""
"protected static boolean isBooleanAttribute(final String key) {
    return Arrays.binarySearch(booleanAttributes, key) >= 0;
}","public void test068() throws Throwable {
    boolean boolean0 = Attribute.isBooleanAttribute("""");
    assertFalse(boolean0);
}","/**
 * Checks if this attribute name is defined as a boolean attribute in HTML5
 */"
"public String getValue() {
    return Attributes.checkNotNull(val);
}","public void test079() throws Throwable {
    Attribute attribute0 = Attribute.createFromEncoded(""xhtml"", """");
    String string0 = attribute0.getValue();
    assertEquals("""", string0);
}","/**
 *     Get the attribute value.
 *     @return the attribute value
 */"
"protected final boolean shouldCollapseAttribute(Document.OutputSettings out) {
    return shouldCollapseAttribute(key, val, out);
}","public void test0810() throws Throwable {
    Attribute attribute0 = Attribute.createFromEncoded(""e'E,YoM(JP{m"", ""e'E,YoM(JP{m"");
    // Undeclared exception!
    try {
        attribute0.shouldCollapseAttribute((Document.OutputSettings) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.nodes.Attribute"", e);
    }
}","/**
 * Collapsible if it's a boolean attribute and value is empty or same as name
 *
 * @param out output settings
 * @return  Returns whether collapsible or not
 */"
"protected static boolean shouldCollapseAttribute(final String key, final String val, final Document.OutputSettings out) {
    return (out.syntax() == Document.OutputSettings.Syntax.html && (val == null || ("""".equals(val) || val.equalsIgnoreCase(key)) && Attribute.isBooleanAttribute(key)));
}","public void test0911() throws Throwable {
    // Undeclared exception!
    try {
        Attribute.shouldCollapseAttribute(""|w2kb2{.\""W90"", ""+8>TZ"", (Document.OutputSettings) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.nodes.Attribute"", e);
    }
}",""
"public String setValue(String val) {
    String oldVal = parent.get(this.key);
    if (parent != null) {
        int i = parent.indexOfKey(this.key);
        if (i != Attributes.NotFound)
            parent.vals[i] = val;
    }
    this.val = val;
    return Attributes.checkNotNull(oldVal);
}","public void test1012() throws Throwable {
    Attribute attribute0 = Attribute.createFromEncoded(""L&1\""c"", ""5Oc?'\""YGR4\""<zYp"");
    // Undeclared exception!
    try {
        attribute0.setValue(""L&1\""c"");
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.nodes.Attribute"", e);
    }
}","/**
 *     Set the attribute value.
 *     @param val the new attribute value; must not be null
 */"
"public void setKey(String key) {
    Validate.notNull(key);
    key = key.trim();
    // trimming could potentially make empty, so validate here
    Validate.notEmpty(key);
    if (parent != null) {
        int i = parent.indexOfKey(this.key);
        if (i != Attributes.NotFound)
            parent.keys[i] = key;
    }
    this.key = key;
}","public void test1113() throws Throwable {
    Attributes attributes0 = new Attributes();
    Attribute attribute0 = new Attribute(""limitedQuirks"", (String) null, attributes0);
    // Undeclared exception!
    try {
        attribute0.setKey("""");
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // String must not be empty
        //
        verifyException(""org.jsoup.helper.Validate"", e);
    }
}","/**
 *     Set the attribute key; case is preserved.
 *     @param key the new key; must not be null
 */"
"protected static boolean isDataAttribute(String key) {
    return key.startsWith(Attributes.dataPrefix) && key.length() > Attributes.dataPrefix.length();
}","public void test1214() throws Throwable {
    // Undeclared exception!
    try {
        Attribute.isDataAttribute((String) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",""
