project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    URL uRL0 = MockURL.getHttpExample();
    URL uRL1 = StringUtil.resolve(uRL0, ""java.lang.String@0000000001BBBBB BBB          "");
    assertNotSame(uRL1, uRL0);
}",0,
project,0,test011,"public void test011() throws Throwable {
    String[] stringArray0 = new String[2];
    stringArray0[0] = ""?java.lang.String@0000000001CY-8_CY-8_"";
    boolean boolean0 = StringUtil.inSorted(""?java.lang.String@0000000001CY-8_CY-8_"", stringArray0);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test022,"public void test022() throws Throwable {
    boolean boolean0 = StringUtil.isActuallyWhitespace(3677);
    assertFalse(boolean0);
}",0,assertTrue(boolean0)
project,0,test033,"public void test033() throws Throwable {
    boolean boolean0 = StringUtil.isWhitespace((-2173));
    assertFalse(boolean0);
}",0,assertTrue(boolean0)
project,0,test044,"public void test044() throws Throwable {
    String string0 = StringUtil.padding(21);
    assertEquals(""                     "", string0);
}",1,
project,0,test055,"public void test055() throws Throwable {
    String string0 = StringUtil.normaliseWhitespace("""");
    assertEquals("""", string0);
}",0,
project,0,test066,"public void test066() throws Throwable {
    String[] stringArray0 = new String[0];
    String string0 = StringUtil.join(stringArray0, ""Xh:}zqM!gLSS"");
    assertEquals("""", string0);
}",0,
project,0,test077,"public void test077() throws Throwable {
    LinkedList<Object> linkedList0 = new LinkedList<Object>();
    Integer integer0 = new Integer((-2855));
    linkedList0.addFirst(integer0);
    String string0 = StringUtil.join((Collection) linkedList0, ""Rz ]NV8}^0vO&41"");
    assertNotNull(string0);
}",0,assertNotNull(string0)
project,0,test088,"public void test088() throws Throwable {
    URLStreamHandler uRLStreamHandler0 = mock(URLStreamHandler.class, new ViolatedAssumptionAnswer());
    URL uRL0 = MockURL.URL("""", """", 0, ""s"", uRLStreamHandler0);
    try {
        StringUtil.resolve(uRL0, """");
        fail(""Expecting exception: MalformedURLException"");
    } catch (MalformedURLException e) {
        //
        // unknown protocol:
        //
        verifyException(""org.evosuite.runtime.mock.java.net.MockURL"", e);
    }
}",0,
project,0,test099,"public void test099() throws Throwable {
    String[] stringArray0 = new String[7];
    URL uRL0 = MockURL.getHttpExample();
    // Undeclared exception!
    try {
        StringUtil.resolve(uRL0, stringArray0[3]);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
    }
}",0,
project,0,test1010,"public void test1010() throws Throwable {
    StringUtil.padding(5263);
    // Undeclared exception!
    StringUtil.padding(5263);
}",1,
project,0,test1111,"public void test1111() throws Throwable {
    // Undeclared exception!
    try {
        StringUtil.normaliseWhitespace((String) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.helper.StringUtil"", e);
    }
}",0,
project,0,test1212,"public void test1212() throws Throwable {
    StringBuilder stringBuilder0 = StringUtil.stringBuilder();
    LinkedList<StringBuilder> linkedList0 = new LinkedList<StringBuilder>();
    Iterator<StringBuilder> iterator0 = linkedList0.iterator();
    linkedList0.add(stringBuilder0);
    // Undeclared exception!
    try {
        StringUtil.join(iterator0, ""2"");
        fail(""Expecting exception: ConcurrentModificationException"");
    } catch (ConcurrentModificationException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""java.util.LinkedList$ListItr"", e);
    }
}",0,
project,0,test1313,"public void test1313() throws Throwable {
    // Undeclared exception!
    try {
        StringUtil.join((Iterator) null, """");
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.helper.StringUtil"", e);
    }
}",0,
project,0,test1414,"public void test1414() throws Throwable {
    LinkedList<Object> linkedList0 = new LinkedList<Object>();
    linkedList0.add((Object) null);
    // Undeclared exception!
    try {
        StringUtil.join((Collection) linkedList0, """");
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.evosuite.runtime.System"", e);
    }
}",0,
project,0,test1515,"public void test1515() throws Throwable {
    // Undeclared exception!
    try {
        StringUtil.inSorted("""", (String[]) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""java.util.Arrays"", e);
    }
}",0,
project,0,test1616,"public void test1616() throws Throwable {
    // Undeclared exception!
    try {
        StringUtil.appendNormalisedWhitespace((StringBuilder) null, (String) null, true);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.helper.StringUtil"", e);
    }
}",0,
project,0,test1818,"public void test1818() throws Throwable {
    boolean boolean0 = StringUtil.isActuallyWhitespace(32);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test1919,"public void test1919() throws Throwable {
    boolean boolean0 = StringUtil.isWhitespace(32);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test2020,"public void test2020() throws Throwable {
    boolean boolean0 = StringUtil.isWhitespace(1800);
    assertFalse(boolean0);
}",0,assertTrue(boolean0)
project,0,test2121,"public void test2121() throws Throwable {
    StringBuilder stringBuilder0 = StringUtil.stringBuilder();
    LinkedList<Object> linkedList0 = new LinkedList<Object>();
    linkedList0.add((Object) stringBuilder0);
    Object object0 = new Object();
    linkedList0.add(object0);
    Iterator<Object> iterator0 = linkedList0.descendingIterator();
    String string0 = StringUtil.join(iterator0, ""_-)a)H%?xJ'"");
    assertNotNull(string0);
}",0,
project,0,test2323,"public void test2323() throws Throwable {
    Iterator<Integer> iterator0 = (Iterator<Integer>) mock(Iterator.class, new ViolatedAssumptionAnswer());
    doReturn(false).when(iterator0).hasNext();
    String string0 = StringUtil.join(iterator0, ""B"");
    assertEquals("""", string0);
}",0,assertNotNull(string0)
project,0,test2525,"public void test2525() throws Throwable {
    String[] stringArray0 = new String[3];
    stringArray0[1] = """";
    boolean boolean0 = StringUtil.inSorted("""", stringArray0);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test2626,"public void test2626() throws Throwable {
    String[] stringArray0 = new String[3];
    stringArray0[1] = """";
    stringArray0[2] = """";
    boolean boolean0 = StringUtil.inSorted(""G`"", stringArray0);
    assertFalse(boolean0);
}",0,assertTrue(boolean0)
project,0,test2727,"public void test2727() throws Throwable {
    String[] stringArray0 = new String[4];
    stringArray0[0] = ""7rDC]G>BIEe"";
    stringArray0[1] = """";
    boolean boolean0 = StringUtil.in("""", stringArray0);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test2828,"public void test2828() throws Throwable {
    String string0 = StringUtil.normaliseWhitespace(""E"");
    String[] stringArray0 = new String[7];
    stringArray0[0] = string0;
    // Undeclared exception!
    try {
        StringUtil.in(""Yc7{1LL["", stringArray0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
    }
}",0,
project,0,test2929,"public void test2929() throws Throwable {
    String[] stringArray0 = new String[0];
    boolean boolean0 = StringUtil.in("""", stringArray0);
    assertFalse(boolean0);
}",0,assertTrue(boolean0)
project,0,test3131,"public void test3131() throws Throwable {
    boolean boolean0 = StringUtil.isActuallyWhitespace(160);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test3232,"public void test3232() throws Throwable {
    boolean boolean0 = StringUtil.isActuallyWhitespace(13);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test3333,"public void test3333() throws Throwable {
    boolean boolean0 = StringUtil.isActuallyWhitespace(12);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test3434,"public void test3434() throws Throwable {
    boolean boolean0 = StringUtil.isActuallyWhitespace(10);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test3535,"public void test3535() throws Throwable {
    boolean boolean0 = StringUtil.isActuallyWhitespace(9);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test3636,"public void test3636() throws Throwable {
    boolean boolean0 = StringUtil.isActuallyWhitespace(8);
    assertFalse(boolean0);
}",0,assertTrue(boolean0)
project,0,test3737,"public void test3737() throws Throwable {
    boolean boolean0 = StringUtil.isWhitespace(13);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test3838,"public void test3838() throws Throwable {
    boolean boolean0 = StringUtil.isWhitespace(12);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test3939,"public void test3939() throws Throwable {
    boolean boolean0 = StringUtil.isWhitespace(10);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test4040,"public void test4040() throws Throwable {
    boolean boolean0 = StringUtil.isWhitespace(9);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test4141,"public void test4141() throws Throwable {
    boolean boolean0 = StringUtil.isNumeric(""2"");
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test4242,"public void test4242() throws Throwable {
    boolean boolean0 = StringUtil.isNumeric(""           "");
    assertFalse(boolean0);
}",0,assertTrue(boolean0)
project,0,test4343,"public void test4343() throws Throwable {
    boolean boolean0 = StringUtil.isNumeric((String) null);
    assertFalse(boolean0);
}",0,assertTrue(boolean0)
project,0,test4444,"public void test4444() throws Throwable {
    boolean boolean0 = StringUtil.isBlank(""java.lang.String@0000000001$"");
    assertFalse(boolean0);
}",0,assertTrue(boolean0)
project,0,test4545,"public void test4545() throws Throwable {
    boolean boolean0 = StringUtil.isBlank("""");
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test4646,"public void test4646() throws Throwable {
    boolean boolean0 = StringUtil.isBlank((String) null);
    assertTrue(boolean0);
}",1,
project,0,test4747,"public void test4747() throws Throwable {
    // Undeclared exception!
    try {
        StringUtil.padding((-578));
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // width must be > 0
        //
        verifyException(""org.jsoup.helper.StringUtil"", e);
    }
}",1,
project,0,test4848,"public void test4848() throws Throwable {
    String[] stringArray0 = new String[1];
    stringArray0[0] = """";
    String string0 = StringUtil.join(stringArray0, """");
    assertNotNull(string0);
}",0,assertNotNull(string0)
project,0,test4949,"public void test4949() throws Throwable {
    LinkedList<Object> linkedList0 = new LinkedList<Object>();
    String string0 = StringUtil.join((Collection) linkedList0, ""tQl3}"");
    assertEquals("""", string0);
}",0,assertNotNull(string0)
project,0,test5050,"public void test5050() throws Throwable {
    String string0 = StringUtil.resolve("""", "" "");
    assertEquals("""", string0);
}",0,
project,0,test5252,"public void test5252() throws Throwable {
    String[] stringArray0 = new String[7];
    // Undeclared exception!
    try {
        StringUtil.join(stringArray0, ""B"");
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.evosuite.runtime.System"", e);
    }
}",0,
