project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test0000,"public void test0000() throws Throwable {
    String[] stringArray0 = StringUtils.splitByWholeSeparatorPreserveAllTokens(""org.apache.commons.lang3.StringUtils"", ""org.apache.commons.lang3.StringUtils"", 1);
    assertEquals(1, stringArray0.length);
}",0,
project,0,test0012,"public void test0012() throws Throwable {
    int int0 = StringUtils.indexOfIgnoreCase(""h#"", """");
    assertEquals(0, int0);
}",0,
project,0,test0023,"public void test0023() throws Throwable {
    int int0 = StringUtils.length("""");
    assertEquals(0, int0);
}",0,"assertEquals(0, int0)"
project,0,test0034,"public void test0034() throws Throwable {
    boolean boolean0 = StringUtils.endsWith((String) null, (String) null);
    assertTrue(boolean0);
}",1,
project,0,test0045,"public void test0045() throws Throwable {
    StringUtils stringUtils0 = new StringUtils();
    assertEquals((-1), StringUtils.INDEX_NOT_FOUND);
}",0,
project,0,test0056,"public void test0056() throws Throwable {
    String string0 = StringUtils.abbreviate("" and replace array lengths don"", 13, 13);
    assertNotNull(string0);
}",1,
project,0,test0068,"public void test0068() throws Throwable {
    String[] stringArray0 = StringUtils.splitPreserveAllTokens((String) null, (String) null);
    assertNull(stringArray0);
}",0,assertNotNull(stringArray0)
project,0,test0079,"public void test0079() throws Throwable {
    String[] stringArray0 = StringUtils.splitByWholeSeparator(""The character must not be null"", """", 1);
    assertEquals(1, stringArray0.length);
}",0,
project,0,test00811,"public void test00811() throws Throwable {
    String string0 = StringUtils.removeEndIgnoreCase(""N+U"", ""illegalaccessexception occurred during ]9;w2a8b\""mv}!t codeCannot pad a negative amount: "");
    assertEquals(""N+U"", string0);
}",0,assertNotNull(string0)
project,0,test00912,"public void test00912() throws Throwable {
    String string0 = StringUtils.center(""classnotfo#njava.util.locale@00000000016y  backcompatUcode"", 3);
    assertNotNull(string0);
}",0,
project,0,test01013,"public void test01013() throws Throwable {
    String[] stringArray0 = StringUtils.split("" "");
    assertEquals(0, stringArray0.length);
}",0,
project,0,test01115,"public void test01115() throws Throwable {
    String[] stringArray0 = StringUtils.splitByCharacterTypeCamelCase(""org.apache.commPns.:ang3.ObjectUtils$Null"");
    assertNotNull(stringArray0);
}",0,assertNotNull(stringArray0)
project,0,test01217,"public void test01217() throws Throwable {
    String string0 = StringUtils.replaceOnce(""T^mot*oLive of "", """", ""T^mot*oLive of "");
    assertEquals(""T^mot*oLive of "", string0);
}",0,
project,0,test01318,"public void test01318() throws Throwable {
    String string0 = StringUtils.rightPad((String) null, 1058);
    assertNull(string0);
}",0,
project,0,test01419,"public void test01419() throws Throwable {
    String string0 = StringUtils.leftPad((String) null, 15);
    assertNull(string0);
}",0,
project,0,test01520,"public void test01520() throws Throwable {
    String string0 = StringUtils.strip(""&0&HI4YiLq9%}R"");
    assertEquals(""&0&HI4YiLq9%}R"", string0);
}",0,
project,0,test01622,"public void test01622() throws Throwable {
    String string0 = StringUtils.repeat(""de}de"", ""de}de"", 810);
    int int0 = StringUtils.ordinalIndexOf(string0, ""de}de"", 810);
    assertEquals(4045, int0);
}",0,
project,0,test01723,"public void test01723() throws Throwable {
    String[] stringArray0 = StringUtils.splitByWholeSeparatorPreserveAllTokens(""The character "", """");
    assertNotNull(stringArray0);
}",0,
project,0,test01825,"public void test01825() throws Throwable {
    String[] stringArray0 = StringUtils.splitPreserveAllTokens(""org.apache.commons.lang3.StringUtils"", ""org.apache.commons.lang3.StringUtils"", 1);
    assertEquals(1, stringArray0.length);
}",0,
