project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test0000,"public void test0000() throws Throwable {
    float float0 = FastMath.copySign((-0.99999994F), (float) 2864);
    assertEquals(0.99999994F, float0, 0.01F);
}",0,
project,0,test0011,"public void test0011() throws Throwable {
    float float0 = FastMath.copySign(0.0F, (-1262.3472F));
    assertEquals(-0.0F, float0, 0.01F);
}",0,
project,0,test0022,"public void test0022() throws Throwable {
    double double0 = FastMath.copySign((double) (-213L), 175.9);
    assertEquals(213.0, double0, 0.01);
}",0,
project,0,test0033,"public void test0033() throws Throwable {
    double double0 = FastMath.copySign(0.0, (-1447.1435378000042));
    assertEquals(-0.0, double0, 0.01);
}",0,
project,0,test0044,"public void test0044() throws Throwable {
    double double0 = FastMath.copySign(796.5, (double) 383.5332F);
    assertEquals(796.5, double0, 0.01);
}",0,
project,0,test0055,"public void test0055() throws Throwable {
    long long0 = FastMath.max((-2182L), (-2182L));
    assertEquals((-2182L), long0);
}",0,"assertEquals(1, long0)"
project,0,test0066,"public void test0066() throws Throwable {
    long long0 = FastMath.min((long) (-1023), (long) (-807));
    assertEquals((-1023L), long0);
}",0,"assertEquals(1, long0)"
project,0,test0077,"public void test0077() throws Throwable {
    int int0 = FastMath.min((-2365), 2855);
    assertEquals((-2365), int0);
}",0,"assertEquals(0, int0)"
project,0,test0088,"public void test0088() throws Throwable {
    double double0 = FastMath.rint(0.8109631538391113);
    assertEquals(1.0, double0, 0.01);
}",1,
project,0,test0099,"public void test0099() throws Throwable {
    double double0 = FastMath.rint(3370.5);
    assertEquals(3370.0, double0, 0.01);
}",1,
project,0,test01010,"public void test01010() throws Throwable {
    double double0 = FastMath.scalb(1117.076, 1024);
    assertEquals(Double.POSITIVE_INFINITY, double0, 0.01);
}",0,
project,0,test01111,"public void test01111() throws Throwable {
    float float0 = FastMath.ulp(740.9073F);
    assertEquals(6.1035156E-5F, float0, 0.01F);
}",0,
project,0,test01212,"public void test01212() throws Throwable {
    double double0 = FastMath.ulp(Double.NaN);
    assertEquals(Double.NaN, double0, 0.01);
}",0,
project,0,test01313,"public void test01313() throws Throwable {
    float float0 = FastMath.abs(Float.NaN);
    assertEquals(Float.NaN, float0, 0.01F);
}",0,
