project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    Document document0 = Document.createShell(""`711./t<5S"");
    Document document1 = document0.clone();
    document1.setParentNode(document0);
    Element element0 = document1.addClass(""mZJ!:+~\""y|k\""vv"");
    Element element1 = element0.text(""`711./t<5S"");
    Element element2 = element1.prepend(""org.jsoup.nodes.Document$QuirksMode"");
    element1.siblingIndex = 600;
    Elements elements0 = element2.getElementsContainingText(""#,7n8{Oq"");
    assertEquals(0, elements0.size());
}",0,"assertEquals(0, elements0.size())"
project,0,test011,"public void test011() throws Throwable {
    Document document0 = Document.createShell(""K>(-qM(Mw1J9j"");
    Element element0 = document0.appendElement(""publ"");
    Element element1 = document0.clone();
    element0.after((Node) element1);
    assertEquals(2, element1.siblingIndex());
}",0,
project,0,test033,"public void test033() throws Throwable {
    Document document0 = Document.createShell(""^n44$sv"");
    Element element0 = document0.appendElement(""^n44$sv"");
    document0.removeChild(element0);
    assertEquals(1, element0.siblingIndex());
}",0,
project,0,test055,"public void test055() throws Throwable {
    Comment comment0 = new Comment("""", """");
    Node[] nodeArray0 = new Node[0];
    comment0.addChildren(nodeArray0);
    assertEquals(""#comment"", comment0.nodeName());
}",0,assertNotNull(comment0.nodeName())
project,0,test066,"public void test066() throws Throwable {
    Document document0 = new Document(""YM\""%^ftzn$'j?>|VI@"");
    Node[] nodeArray0 = new Node[8];
    nodeArray0[0] = (Node) document0;
    nodeArray0[1] = (Node) document0;
    nodeArray0[2] = (Node) document0;
    nodeArray0[3] = (Node) document0;
    nodeArray0[4] = (Node) document0;
    nodeArray0[5] = (Node) document0;
    nodeArray0[6] = (Node) document0;
    nodeArray0[7] = (Node) document0;
    document0.addChildren(0, nodeArray0);
    assertFalse(document0.isBlock());
}",0,
project,0,test077,"public void test077() throws Throwable {
    Document document0 = new Document(""wS -"");
    document0.setSiblingIndex((-2065));
    assertEquals((-2065), document0.siblingIndex());
}",0,"assertEquals(0, document0.siblingIndex())"
project,0,test088,"public void test088() throws Throwable {
    Document document0 = new Document(""TPE*="");
    document0.setBaseUri(""TPE*="");
    assertEquals(0, document0.siblingIndex());
}",0,
project,0,test099,"public void test099() throws Throwable {
    Document document0 = new Document(""5f9}"");
    Element element0 = document0.appendElement(""5f9}"");
    element0.remove();
    assertFalse(element0.isBlock());
}",0,
project,0,test1010,"public void test1010() throws Throwable {
    XmlDeclaration xmlDeclaration0 = new XmlDeclaration("""", """", false);
    String string0 = xmlDeclaration0.toString();
    assertEquals(""<?>"", string0);
}",0,assertNotNull(string0)
project,0,test1111,"public void test1111() throws Throwable {
    Document document0 = new Document(""iQ[D=n&^*_N,]XwD[Z0"");
    Node node0 = document0.removeAttr(""yWHRhjXTKtYoV"");
    assertEquals(""#document"", node0.nodeName());
}",0,assertNotNull(node0.nodeName())
