project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test011,"public void test011() throws Throwable {
    ElitisticListPopulation elitisticListPopulation0 = new ElitisticListPopulation(1080, 1080);
    elitisticListPopulation0.setElitismRate(1080);
}",1,
project,0,test022,"public void test022() throws Throwable {
    LinkedList<Chromosome> linkedList0 = new LinkedList<Chromosome>();
    linkedList0.spliterator();
    linkedList0.add((Chromosome) null);
    ElitisticListPopulation elitisticListPopulation0 = new ElitisticListPopulation(linkedList0, 61, 1.0);
    elitisticListPopulation0.nextGeneration();
}",0,
project,0,test033,"public void test033() throws Throwable {
    LinkedList<Chromosome> linkedList0 = new LinkedList<Chromosome>();
    ElitisticListPopulation elitisticListPopulation0 = new ElitisticListPopulation(linkedList0, 174, 174);
    elitisticListPopulation0.nextGeneration();
}",0,
project,0,test044,"public void test044() throws Throwable {
    LinkedList<Chromosome> linkedList0 = new LinkedList<Chromosome>();
    int int0 = 0;
    ElitisticListPopulation elitisticListPopulation0 = new ElitisticListPopulation(linkedList0, 0, (-763.75318048848));
    // Undeclared exception!
    try {
        elitisticListPopulation0.setElitismRate(int0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // population limit has to be positive
        //
        verifyException(""org.apache.commons.math3.genetics.ListPopulation"", e);
    }
}",1,
project,0,test055,"public void test055() throws Throwable {
    int int0 = (-881);
    double double0 = 700.3623;
    ElitisticListPopulation elitisticListPopulation0 = null;
    try {
        elitisticListPopulation0 = new ElitisticListPopulation((-881), 700.3623);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // population limit has to be positive
        //
        verifyException(""org.apache.commons.math3.genetics.ListPopulation"", e);
    }
}",0,
project,0,test066,"public void test066() throws Throwable {
    ElitisticListPopulation elitisticListPopulation0 = new ElitisticListPopulation(1466, 1466);
    elitisticListPopulation0.setElitismRate((-1449.43));
}",1,
project,0,test077,"public void test077() throws Throwable {
    List<Chromosome> list0 = null;
    ElitisticListPopulation elitisticListPopulation0 = new ElitisticListPopulation((List<Chromosome>) null, 0, 0);
    // Undeclared exception!
    try {
        elitisticListPopulation0.setChromosomes(list0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.math3.genetics.ListPopulation"", e);
    }
}",0,
project,0,test088,"public void test088() throws Throwable {
    int int0 = 1054;
    ElitisticListPopulation elitisticListPopulation0 = new ElitisticListPopulation(1054, 0.0);
    List<Chromosome> list0 = elitisticListPopulation0.getChromosomes();
    ElitisticListPopulation elitisticListPopulation1 = new ElitisticListPopulation(list0, 1054, 1054);
    elitisticListPopulation1.nextGeneration();
    elitisticListPopulation1.setElitismRate(1054);
    // Undeclared exception!
    try {
        elitisticListPopulation1.iterator();
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // elitism rate (1,054)
        //
        verifyException(""org.apache.commons.math3.genetics.ElitisticListPopulation"", e);
    }
}",0,
project,0,test099,"public void test099() throws Throwable {
    LinkedList<Chromosome> linkedList0 = new LinkedList<Chromosome>();
    ElitisticListPopulation elitisticListPopulation0 = new ElitisticListPopulation(linkedList0, 2727, 0.0);
    elitisticListPopulation0.setPopulationLimit(0);
    elitisticListPopulation0.getElitismRate();
    elitisticListPopulation0.nextGeneration();
    elitisticListPopulation0.nextGeneration();
}",0,
project,0,test1010,"public void test1010() throws Throwable {
    ElitisticListPopulation elitisticListPopulation0 = new ElitisticListPopulation(1, 1);
    elitisticListPopulation0.setElitismRate(1);
    elitisticListPopulation0.nextGeneration();
}",0,
project,0,test1111,"public void test1111() throws Throwable {
    ElitisticListPopulation elitisticListPopulation0 = new ElitisticListPopulation(2545, 0.0);
    elitisticListPopulation0.getElitismRate();
    elitisticListPopulation0.setElitismRate(1.0);
    elitisticListPopulation0.getElitismRate();
    elitisticListPopulation0.setElitismRate(0.0);
}",1,
project,0,test1313,"public void test1313() throws Throwable {
    ElitisticListPopulation elitisticListPopulation0 = new ElitisticListPopulation(1, 501.0);
    elitisticListPopulation0.setChromosomes((List<Chromosome>) null);
    elitisticListPopulation0.nextGeneration();
}",0,
