project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    Document document0 = Document.createShell(""T]bUjnNE,o[*.xh3"");
    Elements elements0 = document0.getElementsByIndexEquals(0);
    String[] stringArray0 = new String[0];
    // Undeclared exception!
    try {
        elements0.toArray(stringArray0);
        fail(""Expecting exception: ArrayStoreException"");
    } catch (ArrayStoreException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""java.util.ArrayList"", e);
    }
}",0,
project,0,test011,"public void test011() throws Throwable {
    Element[] elementArray0 = new Element[0];
    Elements elements0 = new Elements(elementArray0);
    // Undeclared exception!
    try {
        elements0.remove(61);
        fail(""Expecting exception: UnsupportedOperationException"");
    } catch (UnsupportedOperationException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""java.util.AbstractList"", e);
    }
}",0,
project,0,test022,"public void test022() throws Throwable {
    Document document0 = Document.createShell(""T]bUjnNE,o[*.xh3"");
    Elements elements0 = document0.getElementsByIndexEquals((-510));
    LinkedHashSet<Integer> linkedHashSet0 = new LinkedHashSet<Integer>();
    boolean boolean0 = elements0.removeAll(linkedHashSet0);
    assertFalse(boolean0);
}",0,assertTrue(boolean0)
project,0,test033,"public void test033() throws Throwable {
    Document document0 = new Document(""0G-A!x@ol"");
    Elements elements0 = document0.getElementsByIndexEquals(0);
    elements0.add(1, (Element) document0);
    assertEquals(0, document0.siblingIndex());
}",0,
project,0,test044,"public void test044() throws Throwable {
    Tag tag0 = Tag.valueOf(""w"");
    Element element0 = new Element(tag0, ""div"");
    Elements elements0 = element0.getAllElements();
    UnaryOperator<Element> unaryOperator0 = UnaryOperator.identity();
    boolean boolean0 = elements0.equals(unaryOperator0);
    assertFalse(boolean0);
}",0,assertTrue(boolean0)
project,0,test055,"public void test055() throws Throwable {
    Document document0 = Document.createShell(""n4lT/^x"");
    Elements elements0 = document0.getElementsByIndexEquals(0);
    // Undeclared exception!
    try {
        elements0.listIterator((-2302));
        fail(""Expecting exception: IndexOutOfBoundsException"");
    } catch (IndexOutOfBoundsException e) {
        //
        // Index: -2302
        //
        verifyException(""java.util.ArrayList"", e);
    }
}",0,
project,0,test066,"public void test066() throws Throwable {
    Document document0 = Document.createShell(""T]bUjnNE,o[*.xh3"");
    Elements elements0 = document0.getElementsByIndexEquals(0);
    boolean boolean0 = elements0.remove((Object) document0);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test077,"public void test077() throws Throwable {
    Document document0 = Document.createShell(""T]bUjnNE,o[*.xh3"");
    Elements elements0 = document0.getElementsByIndexEquals(0);
    Elements elements1 = elements0.parents();
    assertFalse(elements1.isEmpty());
}",0,assertTrue(elements1.isEmpty())
project,0,test088,"public void test088() throws Throwable {
    Document document0 = Document.createShell(""T]bUjnNE,o[*.xh3"");
    Elements elements0 = document0.getElementsByIndexEquals(0);
    elements0.clear();
    assertEquals(0, elements0.size());
}",0,"assertEquals(0, elements0.size())"
project,0,test099,"public void test099() throws Throwable {
    Document document0 = Document.createShell(""T]bUjnNE,o[*.xh3"");
    Elements elements0 = document0.getElementsByIndexEquals(0);
    int int0 = elements0.indexOf(document0);
    assertEquals(0, int0);
}",0,
