project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    Locale locale0 = Locale.CANADA_FRENCH;
    HashMap<Locale.LanguageRange, Locale> hashMap0 = new HashMap<Locale.LanguageRange, Locale>();
    HashMap<Locale.LanguageRange, Locale> hashMap1 = new HashMap<Locale.LanguageRange, Locale>(hashMap0);
    ExtendedMessageFormat extendedMessageFormat0 = null;
    try {
        extendedMessageFormat0 = new ExtendedMessageFormat(""htC{kh"", locale0, hashMap1);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Invalid format argument index at position 5: k
        //
        verifyException(""org.apache.commons.lang.text.ExtendedMessageFormat"", e);
    }
}",0,
project,0,test011,"public void test011() throws Throwable {
    ExtendedMessageFormat extendedMessageFormat0 = new ExtendedMessageFormat(""2<@Xu"");
    Format[] formatArray0 = new Format[8];
    formatArray0[0] = (Format) extendedMessageFormat0;
    formatArray0[1] = (Format) extendedMessageFormat0;
    formatArray0[2] = (Format) extendedMessageFormat0;
    formatArray0[3] = (Format) extendedMessageFormat0;
    formatArray0[4] = (Format) extendedMessageFormat0;
    formatArray0[5] = (Format) extendedMessageFormat0;
    formatArray0[6] = (Format) extendedMessageFormat0;
    formatArray0[7] = (Format) extendedMessageFormat0;
    // Undeclared exception!
    try {
        extendedMessageFormat0.setFormats(formatArray0);
        fail(""Expecting exception: UnsupportedOperationException"");
    } catch (UnsupportedOperationException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.lang.text.ExtendedMessageFormat"", e);
    }
}",1,
project,0,test022,"public void test022() throws Throwable {
    HashMap<String, Locale> hashMap0 = new HashMap<String, Locale>();
    ExtendedMessageFormat extendedMessageFormat0 = new ExtendedMessageFormat(""g0E_WlA_<r,-T59|}"", hashMap0);
    int int0 = 184;
    ExtendedMessageFormat extendedMessageFormat1 = new ExtendedMessageFormat(""g0E_WlA_<r,-T59|}"", hashMap0);
    // Undeclared exception!
    try {
        extendedMessageFormat0.setFormatByArgumentIndex(184, extendedMessageFormat1);
        fail(""Expecting exception: UnsupportedOperationException"");
    } catch (UnsupportedOperationException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.lang.text.ExtendedMessageFormat"", e);
    }
}",1,
project,0,test033,"public void test033() throws Throwable {
    Locale locale0 = Locale.forLanguageTag("""");
    HashMap<Object, String> hashMap0 = new HashMap<Object, String>();
    ExtendedMessageFormat extendedMessageFormat0 = new ExtendedMessageFormat("""", locale0, hashMap0);
    int int0 = 102;
    LinkedList<Locale.LanguageRange> linkedList0 = new LinkedList<Locale.LanguageRange>();
    Locale.FilteringMode locale_FilteringMode0 = Locale.FilteringMode.AUTOSELECT_FILTERING;
    Locale.filter((List<Locale.LanguageRange>) linkedList0, (Collection<Locale>) null, locale_FilteringMode0);
    hashMap0.putIfAbsent((Object) null, (String) null);
    HashMap<Integer, Integer> hashMap1 = new HashMap<Integer, Integer>();
    ExtendedMessageFormat extendedMessageFormat1 = new ExtendedMessageFormat("""", hashMap1);
    // Undeclared exception!
    try {
        extendedMessageFormat0.setFormat(102, extendedMessageFormat1);
        fail(""Expecting exception: UnsupportedOperationException"");
    } catch (UnsupportedOperationException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.lang.text.ExtendedMessageFormat"", e);
    }
}",1,
project,0,test055,"public void test055() throws Throwable {
    HashMap<Integer, String> hashMap0 = new HashMap<Integer, String>();
    hashMap0.put((Integer) null, """");
    ExtendedMessageFormat extendedMessageFormat0 = new ExtendedMessageFormat("""", hashMap0);
    // Undeclared exception!
    try {
        extendedMessageFormat0.applyPattern(""--;{,i"");
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Invalid format argument index at position 4: ,
        //
        verifyException(""org.apache.commons.lang.text.ExtendedMessageFormat"", e);
    }
}",0,
project,0,test077,"public void test077() throws Throwable {
    Locale locale0 = Locale.ENGLISH;
    HashMap<MockDateFormat, MessageFormat> hashMap0 = new HashMap<MockDateFormat, MessageFormat>();
    ExtendedMessageFormat extendedMessageFormat0 = new ExtendedMessageFormat(""L!4EWV]xDAc?,fWity"", locale0, hashMap0);
    Format[] formatArray0 = new Format[0];
    // Undeclared exception!
    try {
        extendedMessageFormat0.setFormatsByArgumentIndex(formatArray0);
        fail(""Expecting exception: UnsupportedOperationException"");
    } catch (UnsupportedOperationException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.lang.text.ExtendedMessageFormat"", e);
    }
}",1,
project,0,test088,"public void test088() throws Throwable {
    String string0 = ""Tj>Crp\\ts''!gC0j"";
    HashMap<Locale.LanguageRange, String> hashMap0 = new HashMap<Locale.LanguageRange, String>();
    ExtendedMessageFormat extendedMessageFormat0 = new ExtendedMessageFormat(""Tj>Crp\ts''!gC0j"", hashMap0);
}",0,
project,0,test099,"public void test099() throws Throwable {
    HashMap<Object, Object> hashMap0 = new HashMap<Object, Object>();
    ExtendedMessageFormat extendedMessageFormat0 = null;
    try {
        extendedMessageFormat0 = new ExtendedMessageFormat(""Z(Rqm{HtS$"", hashMap0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Invalid format argument index at position 6: H
        //
        verifyException(""org.apache.commons.lang.text.ExtendedMessageFormat"", e);
    }
}",1,
project,0,test1010,"public void test1010() throws Throwable {
    Locale locale0 = Locale.TAIWAN;
    ExtendedMessageFormat extendedMessageFormat0 = new ExtendedMessageFormat("""", locale0);
    Locale locale1 = Locale.JAPANESE;
    NumberFormat numberFormat0 = NumberFormat.getIntegerInstance(locale1);
    // Undeclared exception!
    try {
        extendedMessageFormat0.setFormat(0, numberFormat0);
        fail(""Expecting exception: UnsupportedOperationException"");
    } catch (UnsupportedOperationException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.lang.text.ExtendedMessageFormat"", e);
    }
}",1,
project,0,test1111,"public void test1111() throws Throwable {
    HashMap<Integer, DecimalFormat> hashMap0 = new HashMap<Integer, DecimalFormat>();
    ExtendedMessageFormat extendedMessageFormat0 = new ExtendedMessageFormat(""Ubi*BVLuS\""c%"", hashMap0);
    extendedMessageFormat0.toPattern();
}",0,
